source,target,weight,e_type
150902859,caldas,1.0,HASHTAGS
150902859,volcánnevadodelruíz,2.0,HASHTAGS
35923277,volcannevadodelruiz,2.0,HASHTAGS
35923277,nevadodelruíz,5.0,HASHTAGS
35923277,nevadodelruiz,15.0,HASHTAGS
35923277,alertatemprana,1.0,HASHTAGS
771468557339230200,volcán,3.0,HASHTAGS
771468557339230200,nevadodelruiz,4.0,HASHTAGS
771468557339230200,manizales,1.0,HASHTAGS
771468557339230200,emergencia,2.0,HASHTAGS
771468557339230200,volcánnevadodelruiz,2.0,HASHTAGS
771468557339230200,nacional,1.0,HASHTAGS
771468557339230200,tolima,1.0,HASHTAGS
142454580,nevadodelruiz,3.0,HASHTAGS
142454580,volcánenalerta,2.0,HASHTAGS
68722944,manizales,1.0,HASHTAGS
68722944,caldas,1.0,HASHTAGS
68722944,nevadodelruiz,5.0,HASHTAGS
68722944,presidente,1.0,HASHTAGS
68722944,ordenó,1.0,HASHTAGS
68722944,evacuación,1.0,HASHTAGS
68722944,volcán,1.0,HASHTAGS
68722944,colombia,3.0,HASHTAGS
68722944,naranja,1.0,HASHTAGS
45013575,manizales,2.0,HASHTAGS
45013575,caldas,2.0,HASHTAGS
45013575,nevadodelruiz,15.0,HASHTAGS
45013575,presidente,4.0,HASHTAGS
45013575,ordenó,4.0,HASHTAGS
45013575,evacuación,4.0,HASHTAGS
45013575,volcán,4.0,HASHTAGS
45013575,colombia,9.0,HASHTAGS
45013575,naranja,2.0,HASHTAGS
45013575,envideo,1.0,HASHTAGS
45013575,gustavopetro,1.0,HASHTAGS
1598804488852316200,volcannevadodelruiz,1.0,HASHTAGS
1598804488852316200,nevadodelruiz,4.0,HASHTAGS
1598804488852316200,izquierdamiserableyterrorista,1.0,HASHTAGS
1598804488852316200,petroesunpeligro,1.0,HASHTAGS
183272394,volcánnevadodelruiz,1.0,HASHTAGS
1377819102698467300,nevadodelruiz,1.0,HASHTAGS
1274934339688632300,volcandelruíz,1.0,HASHTAGS
1274934339688632300,nevadodelruiz,1.0,HASHTAGS
113739211,volcánnevadodelruiz,9.0,HASHTAGS
113739211,alertanaranja,5.0,HASHTAGS
113739211,volcánenalerta,1.0,HASHTAGS
113739211,fuentesdeagua,1.0,HASHTAGS
113739211,nevadodelruiz,1.0,HASHTAGS
1276274916661309400,nevadodelruiz,5.0,HASHTAGS
